time, Quad1.Est.E.VX, Quad2.Est.E.VX, Quad3.Est.E.VX, Quad4.Est.E.VX, Quad5.Est.E.VX, Quad6.Est.E.VX, Quad7.Est.E.VX, Quad8.Est.E.VX, Quad9.Est.E.VX, Quad10.Est.E.VX, Quad1.Est.S.VX, Quad1.Est.S.VX
0.739994,-0.084548,-0.149718,0.062767,0.049154,0.015922,0.044065,-0.069361,0.141352,-0.034473,0.019273,0.108933,-0.108933
0.744994,-0.086786,-0.151766,0.059834,0.047030,0.015872,0.044533,-0.066948,0.142647,-0.033888,0.019831,0.109004,-0.109004
0.749994,-0.085710,-0.151738,0.058902,0.047515,0.016347,0.045125,-0.066569,0.143371,-0.033685,0.019676,0.109050,-0.109050
0.754994,-0.088619,-0.152603,0.059007,0.047070,0.016957,0.045802,-0.068969,0.140633,-0.034812,0.020210,0.109120,-0.109120
0.759994,-0.090872,-0.153065,0.059002,0.046491,0.018989,0.047619,-0.071729,0.141167,-0.035222,0.019729,0.109167,-0.109167
0.764994,-0.091763,-0.152841,0.060836,0.046143,0.020168,0.045613,-0.075011,0.143988,-0.032769,0.020818,0.109237,-0.109237
0.769994,-0.094345,-0.154189,0.063341,0.049105,0.022304,0.046314,-0.077303,0.143731,-0.031626,0.020665,0.109284,-0.109284
0.774994,-0.093815,-0.157501,0.064774,0.045834,0.023723,0.047960,-0.079816,0.142704,-0.032912,0.021063,0.109355,-0.109355
0.005000,0.000262
0.010000,0.036312
0.015000,0.034256
0.020000,-0.004591
0.025000,-0.004440
0.030000,-0.004456
0.035000,-0.006108
0.040000,-0.002130
0.045000,-0.001445
0.050000,0.000050
0.055000,0.001780
0.060000,-0.014388
0.065000,-0.017248
0.070000,-0.011939
0.075000,-0.009821
0.080000,0.005759
0.085000,0.009322
0.090000,0.023904
0.095000,0.023077
0.100000,0.028033
0.105000,0.028083
0.110000,0.018691
0.115000,0.018958
0.120000,0.012605
0.125000,0.014359
0.130000,0.017913
0.135000,0.014709
0.140000,0.023403
0.145000,0.021406
0.150000,0.020770
0.155000,0.017887
0.160000,0.007179
0.165000,0.006694
0.170000,0.012142
0.175000,0.011810
0.180000,0.019082
0.185000,0.016068
0.190000,0.013924
0.195000,0.013312
0.200000,0.006041
0.205000,0.006201
0.210000,-0.002537
0.215000,-0.003726
0.220000,-0.007890
0.225000,-0.005843
0.230000,0.000338
0.235000,0.001761
0.240000,-0.009648
0.245000,-0.006877
0.250000,-0.002398
0.255000,-0.007695
0.260000,0.006737
0.265000,0.008632
0.270000,0.009018
0.275000,0.009650
0.280000,0.003444
0.285000,0.003205
0.290000,0.001214
0.295000,0.001488
0.300000,-0.000267
0.305000,0.002067
0.310000,-0.008433
0.314999,-0.007767
0.319999,0.004889
0.324999,0.006411
0.329999,0.010257
0.334999,0.011565
0.339999,0.014365
0.344999,0.014014
0.349999,0.011900
0.354999,0.011043
0.359999,0.005838
0.364999,0.004950
0.369999,0.001972
0.374999,0.000418
0.379999,0.015906
0.384999,0.014742
0.389999,0.017746
0.394998,0.014482
0.399998,0.016057
0.404998,0.018594
0.409998,0.014387
0.414998,0.016261
0.419998,0.012879
0.424998,0.013896
0.429998,-0.008279
0.434998,-0.009734
0.439998,-0.007267
0.444998,-0.006995
0.449998,-0.018102
0.454998,-0.020454
0.459998,-0.017044
0.464998,-0.018065
0.469997,0.003192
0.474997,0.006090
0.479997,-0.018187
0.484997,-0.017206
0.489997,-0.009228
0.494997,-0.006047
0.499997,-0.017028
0.504997,-0.018035
0.509997,-0.004233
0.514997,-0.006650
0.519997,-0.008293
0.524997,-0.009590
0.529997,-0.008923
0.534997,-0.007649
0.539997,-0.000833
0.544997,-0.001709
0.549996,0.008818
0.554996,0.006651
0.559996,-0.001604
0.564996,-0.001638
0.569996,0.012175
0.574996,0.015019
0.579996,0.013454
0.584996,0.012210
0.589996,0.011992
0.594996,0.009893
0.599996,0.017906
0.604996,0.017436
0.609996,0.019756
0.614996,0.019714
0.619996,0.002782
0.624996,0.000631
0.629995,-0.010859
0.634995,-0.012835
0.639995,-0.010552
0.644995,-0.010447
0.649995,-0.015472
0.654995,-0.015865
0.659995,-0.013666
0.664995,-0.011667
0.669995,-0.005541
0.674995,-0.008268
0.679995,-0.016811
0.684995,-0.016714
0.689995,-0.008494
0.694995,-0.007969
0.699995,0.012182
0.704994,0.014577
0.709994,0.016654
0.714994,0.017080
0.719994,0.006139
0.724994,0.007671
0.729994,-0.000076
0.734994,0.003590
0.739994,0.006531
0.744994,0.005657
0.749994,0.005409
0.754994,0.007896
0.759994,0.006243
0.764994,0.005933
0.769994,0.010363
0.774994,0.011250
